F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,label
0.0,0.0,0.0,0.0,3.12,15.62,0.0,3.12,0.0,15.62,3.12,0.0,0.0,0.0,28.12,0.0,0.0,28.12,3.12,0.0,1
0.0,0.0,0.0,0.0,0.0,3.12,0.0,21.88,53.12,9.38,0.0,0.0,0.0,0.0,0.0,3.12,9.38,0.0,0.0,0.0,1
6.25,0.0,3.12,0.0,0.0,3.12,0.0,18.75,18.75,6.25,3.12,6.25,3.12,0.0,0.0,6.25,0.0,15.62,6.25,3.12,1
9.38,6.25,3.12,0.0,3.12,15.62,3.12,0.0,6.25,6.25,0.0,6.25,0.0,6.25,3.12,18.75,0.0,6.25,3.12,3.12,1
31.25,0.0,0.0,0.0,12.5,6.25,3.12,3.12,0.0,9.38,0.0,3.12,3.12,0.0,18.75,0.0,6.25,0.0,0.0,3.12,1
9.38,0.0,0.0,6.25,9.38,6.25,0.0,9.38,0.0,15.62,3.12,0.0,3.12,0.0,25.0,3.12,0.0,9.38,0.0,0.0,1
12.5,0.0,0.0,6.25,3.12,3.12,0.0,3.12,6.25,15.62,6.25,0.0,0.0,0.0,25.0,6.25,0.0,12.5,0.0,0.0,1
9.38,0.0,0.0,6.25,6.25,3.12,0.0,6.25,3.12,12.5,9.38,0.0,0.0,0.0,28.12,3.12,0.0,9.38,3.12,0.0,1
9.38,0.0,0.0,6.25,9.38,3.12,0.0,3.12,9.38,15.62,3.12,0.0,0.0,0.0,21.88,3.12,0.0,12.5,3.12,0.0,1
0.0,0.0,3.12,3.12,9.38,3.12,0.0,31.25,9.38,12.5,0.0,12.5,0.0,0.0,3.12,3.12,0.0,3.12,0.0,6.25,1
18.75,0.0,3.12,3.12,3.12,3.12,3.12,12.5,6.25,12.5,3.12,0.0,3.12,0.0,6.25,3.12,0.0,15.62,0.0,3.12,1
12.5,0.0,3.12,0.0,6.25,3.12,3.12,6.25,15.62,9.38,0.0,0.0,3.12,6.25,9.38,0.0,18.75,0.0,0.0,3.12,1
0.0,0.0,0.0,3.12,3.12,18.75,0.0,6.25,0.0,6.25,3.12,0.0,0.0,0.0,21.88,3.12,3.12,31.25,0.0,0.0,1
0.0,0.0,0.0,3.12,0.0,0.0,0.0,12.5,37.5,9.38,12.5,3.12,0.0,3.12,0.0,0.0,0.0,18.75,0.0,0.0,1
36.36,0.0,0.0,0.0,0.0,3.03,0.0,3.03,42.42,0.0,0.0,0.0,6.06,0.0,0.0,0.0,3.03,6.06,0.0,0.0,1
0.0,0.0,9.09,3.03,9.09,6.06,3.03,6.06,21.21,9.09,0.0,0.0,6.06,0.0,9.09,0.0,3.03,0.0,6.06,9.09,1
